# eps[MeV/(fm^3)]	p[MeV/(fm^3)]	n[fm^{-3}]	mu[MeV]
100.43506135033547	0.9019574543792019	0.10560000000000001	959.6308598931313
92.76403766759837	0.7241506993264405	0.0976	957.870782448
85.10652535864087	0.5759275466606736	0.0896	956.2773761752405
77.46045122424391	0.45285894621979705	0.0816	954.8199775792119
69.82668430208476	0.3554464528711387	0.07360000000000001	953.5615591705962
62.20239329187353	0.2767984164678361	0.0656	952.4267028710573
55.44815219198052	0.22008193400874898	0.0585055018115558	951.504258613057
40.45725300500002	0.13512500000000002	0.04268	951.0866449156517
27.907752420000012	0.08093750000000002	0.02948	949.4128195386708
20.88025679250001	0.05507500000000001	0.02207	948.5877567965568
15.122316730000007	0.03600625000000001	0.016	947.3951862500004
10.572139705000005	0.022400000000000003	0.0112	945.9410450892861
7.072435647500003	0.013056250000000002	0.007496	945.2363790688372
4.441197476500002	0.006968750000000001	0.00471	944.4089652866247
3.3991507627500015	0.004873750000000001	0.003606	943.9890495701612
2.518326370750001	0.0032925000000000007	0.002673	943.3665809016092
1.7846805442500009	0.002141875		0.001895	942.9142054089715
1.1875400285000006	0.0013468750000000004	0.001262	942.0656921553095
0.7207255707500003	0.0008356250000000002	0.0007661	941.8629366270726
0.5701765037500003	0.0006956250000000002	0.0006059	942.1886924409972
0.5023732485750002	0.0006368750000000002	0.0005341	941.7901583504965
0.4400751458500002	0.0005854375		0.000468	941.5824430555559
0.38322602055000016	0.0005402500000000001	0.0004076	941.5266696516196
0.33210674780000016	0.0005009375000000001	0.0003533	941.431319841495
0.2869420277000001	0.0004667500000000001	0.0003053	941.3978961677043
0.24829361050000012	0.0004371875000000001	0.0002643	941.0926901248587
0.2348116045000001	0.0004264375000000001	0.00025		940.9521680000004
0.2255989004000001	0.00041875000000000007	0.0002401	941.3479816743028
0.21711647162500008	0.00041131250000000006	0.0002311	941.271242427521
0.2095328432500001	0.0004042500000000001	0.0002231	940.9999697445097
0.2029041903000001	0.0003973125000000001	0.000216	941.2106611111116
0.19633171237500008	0.00038843750000000006	0.0002091	940.7945952893358
0.19554526202500008	0.00038800000000000005	0.0002082	941.081950168108
0.1952643869000001	0.00038731250000000007	0.0002079	941.0856151996155
0.19290503585000007	0.00038181250000000004	0.0002054	941.0265255598835
0.18565845762500008	0.00036518750000000006	0.0001977	940.9390244056656
0.1786365795000001	0.0003490000000000001	0.0001902	941.0387986330182
0.17178322645000008	0.00033337500000000007	0.000183	940.5278767759567
0.16515457350000007	0.0003183125		0.0001759	940.7213530415013
0.15869444562500007	0.0003036875000000001	0.000169	940.8173557692313
0.15245901785000007	0.00028968750000000007	0.0001624	940.570845751232
0.12397828017500005	0.00022656250000000004	0.0001321	940.2334797501895
0.09965449435000004	0.00017437500000000002	0.0001062	940.0081859698686
0.07909443520000004	0.0001318125		0.00008433	939.4788058816558
0.06179252750000003	0.00009756250000000002	0.00006592	938.8666565533983
0.047434191110000024	0.00007043750000000001	0.00005063	938.270365593522
0.035654288367500016	0.000049456250000000006	0.00003807	937.8446182689787
0.026132621630000012	0.000033543750000000006	0.00002791	937.5193615191693
0.02344745543500001	0.000028925000000000005	0.00002507	936.4332044276032
0.01862202078750001	0.000021275000000000002	0.00001991	936.378492591663
0.014229133832500006	0.00001564375		0.00001522	935.9249397174774
0.011746197727500005	0.000012112500000000003	0.00001257	935.4264301909311
0.009330671652500004	8.906250000000001e-6	9.982e-6	935.6419457523546
0.007409485797500003	6.550000000000002e-6	7.93e-6		935.1873641235817
0.005679295027500002	4.813750000000001e-6	6.081e-6	934.7325731787539
0.004511416257750002	3.538750000000001e-6	4.83e-6		934.773293530021
0.0037109221515000015	2.7262500000000004e-6	3.974e-6	934.4862610719681
0.002340251541500001	1.4725000000000003e-6	2.507e-6	934.0742088153174
0.0014296543862500006	7.950000000000002e-7	1.532e-6	933.7136985966062
0.0009021709015000004	4.287500000000001e-7	9.667e-7	933.6915811523744
0.0005875907615000002	2.5806250000000004e-7	6.296e-7	933.6861880559089
0.00046642123257500023	1.8931250000000004e-7	5.001e-7	933.0344832533498
0.0002943009559750001	1.0181250000000001e-7	3.156e-7	932.8351345849181
0.00018565845762500007	5.461250000000001e-8	1.991e-7	932.7627831491716
0.00014745944062500007	4.1725000000000005e-8	1.581e-7	932.9611993991149
0.00007387015787500003	1.6275000000000002e-8	7.926e-8	932.2032913827912
0.00003703057648000002	6.287500000000002e-9	3.973e-8	932.214044299019
0.00001854899325500001	2.3956250000000004e-9	1.99e-8		932.2305969849251
