  # e[MeV/fm3],   pr[MeV/fm3],  n_b[1/fm3],  mu_b[MeV]
 980.949  381.426  0.844645  1612.96 
 982.613  382.849  0.84567  1614.65 
 984.276  384.273  0.846695  1616.34 
 985.939  385.699  0.847718  1618.04 
 987.601  387.127  0.848739  1619.73 
 989.263  388.556  0.84976  1621.42 
 990.925  389.988  0.850779  1623.12 
 992.587  391.421  0.851797  1624.81 
 994.248  392.855  0.852813  1626.5 
 995.909  394.292  0.853829  1628.2 
 997.57  395.73  0.854843  1629.89 
 999.23  397.17  0.855856  1631.58 
 1000.89  398.611  0.856868  1633.28 
 1002.55  400.055  0.857878  1634.97 
 1004.21  401.5  0.858887  1636.66 
 1005.87  402.946  0.859896  1638.36 
 1007.53  404.395  0.860902  1640.05 
 1009.19  405.845  0.861908  1641.74 
 1010.85  407.297  0.862913  1643.44 
 1012.5  408.75  0.863916  1645.13 
 1014.16  410.205  0.864918  1646.82 
 1015.82  411.662  0.865919  1648.52 
 1017.48  413.121  0.866919  1650.21 
 1019.14  414.581  0.867918  1651.9 
 1020.79  416.043  0.868915  1653.6 
 1022.45  417.507  0.869911  1655.29 
 1024.11  418.972  0.870907  1656.98 
 1025.76  420.439  0.871901  1658.68 
 1027.42  421.908  0.872894  1660.37 
 1029.07  423.378  0.873885  1662.06 
 1030.73  424.851  0.874876  1663.76 
 1032.39  426.324  0.875865  1665.45 
 1034.04  427.8  0.876854  1667.14 
 1035.7  429.277  0.877841  1668.84 
 1037.35  430.756  0.878827  1670.53 
 1039.01  432.236  0.879812  1672.22 
 1040.66  433.718  0.880796  1673.92 
 1042.32  435.202  0.881779  1675.61 
 1043.97  436.688  0.88276  1677.3 
 1045.62  438.175  0.883741  1679 
 1047.28  439.664  0.88472  1680.69 
 1048.93  441.154  0.885699  1682.38 
 1050.58  442.646  0.886676  1684.08 
 1052.24  444.14  0.887652  1685.77 
 1053.89  445.636  0.888628  1687.46 
 1055.54  447.133  0.889602  1689.16 
 1057.2  448.631  0.890575  1690.85 
 1058.85  450.132  0.891547  1692.54 
 1060.5  451.634  0.892517  1694.24 
 1062.15  453.138  0.893487  1695.93 
 1063.81  454.643  0.894456  1697.62 
 1065.46  456.15  0.895424  1699.32 
 1067.11  457.659  0.896391  1701.01 
 1068.76  459.169  0.897356  1702.7 
 1070.41  460.681  0.898321  1704.4 
 1072.07  462.195  0.899284  1706.09 
 1073.72  463.71  0.900247  1707.78 
 1075.37  465.227  0.901208  1709.48 
 1077.02  466.745  0.902169  1711.17 
 1078.67  468.265  0.903128  1712.86 
 1080.32  469.787  0.904087  1714.56 
 1081.97  471.31  0.905044  1716.25 
 1083.62  472.836  0.906001  1717.94 
 1085.27  474.362  0.906956  1719.64 
 1086.92  475.89  0.907911  1721.33 
 1088.58  477.42  0.908864  1723.02 
 1090.23  478.952  0.909817  1724.72 
 1091.88  480.485  0.910768  1726.41 
 1093.53  482.02  0.911719  1728.1 
 1095.18  483.556  0.912668  1729.8 
 1096.83  485.094  0.913617  1731.49 
 1098.48  486.634  0.914564  1733.18 
 1100.12  488.175  0.915511  1734.88 
 1101.77  489.718  0.916457  1736.57 
 1103.42  491.262  0.917401  1738.26 
 1105.07  492.809  0.918345  1739.96 
 1106.72  494.356  0.919288  1741.65 
 1108.37  495.906  0.92023  1743.34 
 1110.02  497.456  0.92117  1745.04 
 1111.67  499.009  0.92211  1746.73 
 1113.32  500.563  0.923049  1748.42 
 1114.97  502.119  0.923987  1750.12 
 1116.62  503.676  0.924924  1751.81 
 1118.27  505.235  0.925861  1753.51 
 1119.91  506.795  0.926796  1755.2 
 1121.56  508.358  0.92773  1756.89 
 1123.21  509.921  0.928663  1758.59 
 1124.86  511.487  0.929596  1760.28 
 1126.51  513.053  0.930527  1761.97 
 1128.16  514.622  0.931458  1763.67 
 1129.81  516.192  0.932388  1765.36 
 1131.46  517.764  0.933317  1767.05 
 1133.1  519.337  0.934245  1768.75 
 1134.75  520.912  0.935172  1770.44 
 1136.4  522.488  0.936098  1772.13 
 1138.05  524.066  0.937023  1773.83 
 1139.7  525.646  0.937947  1775.52 
 1141.35  527.227  0.938871  1777.21 
 1142.99  528.809  0.939793  1778.91 
 1144.64  530.394  0.940715  1780.6 
 1146.29  531.98  0.941636  1782.29 
 1147.94  533.567  0.942556  1783.99 
 1149.59  535.156  0.943475  1785.68 
 1151.23  536.747  0.944393  1787.37 
 1152.88  538.339  0.94531  1789.07 
 1154.53  539.933  0.946227  1790.76 
 1156.18  541.528  0.947142  1792.45 
 1157.83  543.125  0.948057  1794.15 
 1159.48  544.723  0.948971  1795.84 
 1161.12  546.323  0.949884  1797.53 
 1162.77  547.925  0.950796  1799.23 
 1164.42  549.528  0.951707  1800.92 
 1166.07  551.132  0.952618  1802.61 
 1167.72  552.739  0.953527  1804.31 
 1169.36  554.346  0.954436  1806 
 1171.01  555.956  0.955344  1807.69 
 1172.66  557.567  0.956251  1809.39 
 1174.31  559.179  0.957158  1811.08 
 1175.96  560.793  0.958063  1812.77 
 1177.61  562.409  0.958968  1814.47 
 1179.25  564.026  0.959871  1816.16 
 1180.9  565.644  0.960774  1817.85 
 1182.55  567.265  0.961677  1819.55 
 1184.2  568.886  0.962578  1821.24 
 1185.85  570.51  0.963479  1822.93 
 1187.5  572.135  0.964378  1824.63 
 1189.14  573.761  0.965277  1826.32 
 1190.79  575.389  0.966175  1828.01 
 1192.44  577.018  0.967073  1829.71 
 1194.09  578.649  0.967969  1831.4 
 1195.74  580.282  0.968865  1833.09 
 1197.39  581.916  0.96976  1834.79 
 1199.04  583.551  0.970654  1836.48 
 1200.68  585.189  0.971548  1838.17 
 1202.33  586.827  0.97244  1839.87 
 1203.98  588.467  0.973332  1841.56 
 1205.63  590.109  0.974223  1843.25 
 1207.28  591.752  0.975113  1844.95 
 1208.93  593.397  0.976003  1846.64 
 1210.58  595.043  0.976892  1848.33 
 1212.23  596.691  0.977779  1850.03 
 1213.88  598.341  0.978667  1851.72 
 1215.52  599.992  0.979553  1853.41 
 1217.17  601.644  0.980439  1855.11 
 1218.82  603.298  0.981324  1856.8 
 1220.47  604.953  0.982208  1858.49 
 1222.12  606.61  0.983091  1860.19 
 1223.77  608.269  0.983974  1861.88 
 1225.42  609.929  0.984856  1863.57 
 1227.07  611.59  0.985737  1865.27 
 1228.72  613.253  0.986617  1866.96 
 1230.37  614.918  0.987497  1868.65 
 1232.02  616.584  0.988376  1870.35 
 1233.67  618.251  0.989254  1872.04 
 1235.32  619.92  0.990131  1873.73 
 1236.97  621.591  0.991008  1875.43 
 1238.62  623.263  0.991884  1877.12 
 1240.27  624.937  0.992759  1878.81 
 1241.92  626.612  0.993634  1880.51 
 1243.57  628.289  0.994508  1882.2 
 1245.22  629.967  0.995381  1883.89 
 1246.88  631.646  0.996253  1885.59 
 1248.53  633.327  0.997125  1887.28 
 1250.18  635.01  0.997995  1888.97 
 1251.83  636.694  0.998866  1890.67 
 1253.48  638.38  0.999735  1892.36 
 1255.13  640.067  1.0006  1894.05 
 1256.78  641.755  1.00147  1895.75 
 1258.43  643.445  1.00234  1897.44 
 1260.09  645.137  1.00321  1899.13 
 1261.74  646.83  1.00407  1900.83 
 1263.39  648.524  1.00494  1902.52 
 1265.04  650.22  1.0058  1904.21 
 1266.69  651.918  1.00667  1905.91 
 1268.35  653.617  1.00753  1907.6 
 1270  655.318  1.00839  1909.29 
 1271.65  657.02  1.00925  1910.99 
 1273.3  658.723  1.01011  1912.68 
 1274.96  660.428  1.01097  1914.37 
 1276.61  662.134  1.01183  1916.07 
 1278.26  663.842  1.01269  1917.76 
 1279.91  665.552  1.01355  1919.45 
 1281.57  667.263  1.01441  1921.15 
 1283.22  668.975  1.01527  1922.84 
 1284.87  670.689  1.01612  1924.53 
 1286.53  672.404  1.01698  1926.23 
 1288.18  674.121  1.01783  1927.92 
 1289.84  675.839  1.01869  1929.61 
 1291.49  677.559  1.01954  1931.31 
 1293.14  679.28  1.02039  1933 
 1294.8  681.003  1.02125  1934.69 
 1296.45  682.727  1.0221  1936.39 
 1298.11  684.452  1.02295  1938.08 
 1299.76  686.179  1.0238  1939.77 
 1301.42  687.908  1.02465  1941.47 
 1303.07  689.638  1.0255  1943.16 
 1304.73  691.369  1.02635  1944.85 
 1306.38  693.102  1.0272  1946.55 
 1308.04  694.837  1.02804  1948.24 
 1309.69  696.573  1.02889  1949.93 
 1311.35  698.31  1.02974  1951.63 
 1313.01  700.049  1.03058  1953.32 
 1314.66  701.789  1.03142  1955.01 
 1316.32  703.531  1.03227  1956.71 
 1317.97  705.274  1.03311  1958.4 
 1319.63  707.018  1.03395  1960.09 
 1321.29  708.764  1.0348  1961.79 
 1322.94  710.512  1.03564  1963.48 
 1324.6  712.261  1.03648  1965.17 
 1326.26  714.011  1.03732  1966.87 
 1327.92  715.763  1.03816  1968.56 
 1329.57  717.516  1.039  1970.25 
 1331.23  719.271  1.03984  1971.95 
 1332.89  721.027  1.04067  1973.64 
 1334.55  722.785  1.04151  1975.33 
 1336.21  724.544  1.04235  1977.03 
 1337.87  726.305  1.04318  1978.72 
 1339.52  728.067  1.04402  1980.41 
 1341.18  729.83  1.04485  1982.11 
 1342.84  731.595  1.04569  1983.8 
 1344.5  733.361  1.04652  1985.49 
 1346.16  735.129  1.04735  1987.19 
 1347.82  736.898  1.04819  1988.88 
 1349.48  738.669  1.04902  1990.58 
 1351.14  740.441  1.04985  1992.27 
 1352.8  742.215  1.05068  1993.96 
 1354.46  743.99  1.05151  1995.66 
 1356.12  745.766  1.05234  1997.35 
 1357.78  747.544  1.05317  1999.04 
 1359.44  749.323  1.054  2000.74 
 1361.1  751.104  1.05482  2002.43 
 1362.77  752.886  1.05565  2004.12 
 1364.43  754.669  1.05648  2005.82 
 1366.09  756.454  1.0573  2007.51 
 1367.75  758.241  1.05813  2009.2 
 1369.41  760.029  1.05895  2010.9 
 1371.08  761.818  1.05978  2012.59 
 1372.74  763.609  1.0606  2014.28 
 1374.4  765.401  1.06142  2015.98 
 1376.06  767.194  1.06224  2017.67 
 1377.73  768.989  1.06307  2019.36 
 1379.39  770.786  1.06389  2021.06 
 1381.05  772.583  1.06471  2022.75 
 1382.72  774.383  1.06553  2024.44 
 1384.38  776.183  1.06635  2026.14 
 1386.05  777.985  1.06717  2027.83 
 1387.71  779.789  1.06799  2029.52 
 1389.38  781.594  1.0688  2031.22 
 1391.04  783.4  1.06962  2032.91 
 1392.71  785.208  1.07044  2034.6 
 1394.37  787.017  1.07125  2036.3 
 1396.04  788.827  1.07207  2037.99 
 1397.7  790.639  1.07288  2039.68 
 1399.37  792.453  1.0737  2041.38 
 1401.03  794.268  1.07451  2043.07 
 1402.7  796.084  1.07533  2044.76 
 1404.37  797.901  1.07614  2046.46 
 1406.03  799.72  1.07695  2048.15 
 1407.7  801.541  1.07776  2049.84 
 1409.37  803.363  1.07857  2051.54 
 1411.04  805.186  1.07938  2053.23 
 1412.7  807.011  1.08019  2054.92 
 1414.37  808.837  1.081  2056.62 
 1416.04  810.664  1.08181  2058.31 
 1417.71  812.493  1.08262  2060 
 1419.38  814.323  1.08343  2061.7 
 1421.05  816.155  1.08424  2063.39 
 1422.72  817.988  1.08504  2065.08 
 1424.39  819.822  1.08585  2066.78 
 1426.06  821.658  1.08666  2068.47 
 1427.73  823.496  1.08746  2070.16 
 1429.4  825.334  1.08827  2071.86 
 1431.07  827.174  1.08907  2073.55 
 1432.74  829.016  1.08987  2075.24 
 1434.41  830.859  1.09068  2076.94 
